,id,number,state,userId,userlogin,username,labels,createTimestamp,updateTimestamp,finishTimestamp,type
0,5376141,I37899,open,5630689,zhanghui_china,张辉,[],2021-02-06T13:52:28+08:00,2021-02-06T13:52:29+08:00,,Bug-Report
1,5375293,I377LP,open,7342144,cathwong,cathwong,"[{'id': 58023093, 'name': 'comp/data', 'color': '8c6e63', 'repository_id': 5439905, 'url': 'https://gitee.com/api/v5/enterprises/mind_spore/labels/comp/data', 'created_at': '2020-03-19T16:32:45+08:00', 'updated_at': '2021-02-06T07:00:20+08:00'}, {'id': 58021462, 'name': 'kind/task', 'color': 'f1009a', 'repository_id': 5439905, 'url': 'https://gitee.com/api/v5/enterprises/mind_spore/labels/kind/task', 'created_at': '2020-03-19T16:23:25+08:00', 'updated_at': '2021-02-06T07:00:20+08:00'}]",2021-02-06T06:34:13+08:00,2021-02-06T07:00:21+08:00,,Task-Tracking
2,5375176,I377IG,open,7641490,lixiachen,lixiachen,[],2021-02-06T00:47:52+08:00,2021-02-06T01:09:12+08:00,,Task-Tracking
3,5369117,I372U5,open,8036781,lizhenglong1992,lizhenglong1992,[],2021-02-05T16:51:44+08:00,2021-02-05T16:53:46+08:00,,Task-Tracking
4,5368994,I372QQ,open,6575182,yangjie159,yangjie159,[],2021-02-05T16:36:17+08:00,2021-02-05T16:38:30+08:00,,Requirement
5,5368440,I372BC,open,8383724,ydwu4,ydwu4,[],2021-02-05T16:05:29+08:00,2021-02-05T16:06:10+08:00,,Requirement
6,5368333,I3728D,open,7353905,wangchengyuan,wangchengyuan,[],2021-02-05T16:03:16+08:00,2021-02-05T16:07:25+08:00,,Task-Tracking
7,5367716,I371R8,open,6557911,echo_hua,echo_hua,[],2021-02-05T15:14:36+08:00,2021-02-05T15:16:46+08:00,,Bug-Report
8,5367596,I371NW,open,7914510,sishuikang,HuKang,[],2021-02-05T14:58:33+08:00,2021-02-05T14:59:09+08:00,,Task-Tracking
9,5357710,I36U1A,open,7541093,zhang_yi2020,zhangyi,[],2021-02-05T11:21:42+08:00,2021-02-05T11:24:03+08:00,,Bug-Report
10,5356795,I36TBV,open,7845873,ZJUTER0126,好名字可以让你的朋友更容易记住你,[],2021-02-05T11:01:06+08:00,2021-02-05T11:05:10+08:00,,Requirement
11,5354852,I36RTW,open,6575280,zhoufeng54,zhoufeng,[],2021-02-04T22:57:50+08:00,2021-02-04T22:58:07+08:00,,Empty-Template
12,5354710,I36RPY,open,6574854,jjfeing,jjfeing,[],2021-02-04T21:46:20+08:00,2021-02-04T21:47:50+08:00,,Empty-Template
13,5354038,I36R7A,open,7929819,gongdaguo,gongdaguo,[],2021-02-04T20:34:19+08:00,2021-02-04T20:34:42+08:00,,Bug-Report
14,5353944,I36R4O,open,7873411,YeFeng_24,yefeng,[],2021-02-04T20:02:23+08:00,2021-02-04T20:05:15+08:00,,Bug-Report
15,5351945,I36PL5,open,7353905,wangchengyuan,wangchengyuan,[],2021-02-04T19:25:56+08:00,2021-02-04T19:25:58+08:00,,Task-Tracking
16,5351941,I36PL1,open,7353905,wangchengyuan,wangchengyuan,[],2021-02-04T19:24:08+08:00,2021-02-04T19:25:04+08:00,,Task-Tracking
17,5351938,I36PKY,open,7353905,wangchengyuan,wangchengyuan,[],2021-02-04T19:22:53+08:00,2021-02-04T19:23:19+08:00,,Task-Tracking
18,5351872,I36PJ4,open,8359095,zuochuanyong,zuochuanyong,[],2021-02-04T19:04:27+08:00,2021-02-04T19:05:57+08:00,,RFC
19,5349953,I36O1T,open,7353920,hangangqiang,hangq,[],2021-02-04T18:20:16+08:00,2021-02-04T18:21:50+08:00,,RFC
20,5349085,I36NDP,open,7889971,lzkcode,liuzhongkai,[],2021-02-04T18:02:06+08:00,2021-02-04T18:02:43+08:00,,Bug-Report
21,5334333,I36BZX,open,7854338,zhujingxuan,zhujingxuan,[],2021-02-04T16:13:51+08:00,2021-02-04T16:13:54+08:00,,Task-Tracking
22,5334288,I36BYO,open,7541001,wu_tian_yu9,吴天瑜,"[{'id': 58021213, 'name': 'kind/bug', 'color': 'ec0019', 'repository_id': 5439905, 'url': 'https://gitee.com/api/v5/enterprises/mind_spore/labels/kind/bug', 'created_at': '2020-03-19T16:22:05+08:00', 'updated_at': '2021-02-05T17:06:03+08:00'}, {'id': 58022151, 'name': 'device/ascend', 'color': 'b000cf', 'repository_id': 5439905, 'url': 'https://gitee.com/api/v5/enterprises/mind_spore/labels/device/ascend', 'created_at': '2020-03-19T16:26:34+08:00', 'updated_at': '2021-02-05T16:40:22+08:00'}]",2021-02-04T16:09:43+08:00,2021-02-04T16:09:43+08:00,,Bug-Report
23,5331089,I369HT,open,6517937,tronzhang,TronZhang,[],2021-02-04T15:23:40+08:00,2021-02-04T15:25:25+08:00,,Bug-Report
24,5331077,I369HH,open,6557911,echo_hua,echo_hua,[],2021-02-04T15:23:33+08:00,2021-02-05T09:31:51+08:00,,Bug-Report
25,5330584,I3693S,open,7342588,wangmin0104,wangmin0104,[],2021-02-04T15:16:30+08:00,2021-02-04T17:10:00+08:00,,Task-Tracking
26,5329972,I368MS,open,7541001,wu_tian_yu9,吴天瑜,"[{'id': 58021213, 'name': 'kind/bug', 'color': 'ec0019', 'repository_id': 5439905, 'url': 'https://gitee.com/api/v5/enterprises/mind_spore/labels/kind/bug', 'created_at': '2020-03-19T16:22:05+08:00', 'updated_at': '2021-02-05T17:06:03+08:00'}, {'id': 58022108, 'name': 'device/gpu', 'color': '1083d6', 'repository_id': 5439905, 'url': 'https://gitee.com/api/v5/enterprises/mind_spore/labels/device/gpu', 'created_at': '2020-03-19T16:26:25+08:00', 'updated_at': '2021-02-05T17:06:03+08:00'}]",2021-02-04T15:11:02+08:00,2021-02-04T19:51:20+08:00,,Bug-Report
27,5326013,I365KT,open,5610790,yyyzzzhao,yyyzzzhao,[],2021-02-04T14:02:51+08:00,2021-02-04T14:02:53+08:00,,Bug-Report
28,5322366,I362RI,open,7353920,hangangqiang,hangq,[],2021-02-04T10:35:03+08:00,2021-02-04T10:35:33+08:00,,Bug-Report
29,5322278,I362P2,open,7873411,YeFeng_24,yefeng,[],2021-02-04T10:25:05+08:00,2021-02-04T21:05:54+08:00,,Bug-Report
30,5320648,I361FS,open,2151589,shuzigood,吴书全,[],2021-02-03T21:30:15+08:00,2021-02-04T15:11:15+08:00,,Bug-Report
31,5296291,I35IN7,open,6574895,qujianwei,qujianwei,[],2021-02-03T17:57:38+08:00,2021-02-03T18:06:31+08:00,,Bug-Report
32,5289256,I35D7S,open,449787,louie5,louie171,[],2021-02-03T16:03:44+08:00,2021-02-03T16:04:05+08:00,,Requirement
33,5288007,I35C93,open,5708230,louisncu,liujiahan,[],2021-02-03T15:09:26+08:00,2021-02-05T17:51:32+08:00,,Requirement
34,5286962,I35BG2,open,7342633,sl_wang,wangshuangling,[],2021-02-03T14:26:20+08:00,2021-02-03T14:26:22+08:00,,Bug-Report
35,5284886,I359UE,open,8629710,fireinthehole1024,fireinthehole1024,[],2021-02-03T09:46:36+08:00,2021-02-03T09:51:26+08:00,,Empty-Template
36,5282755,I35877,open,5630689,zhanghui_china,张辉,[],2021-02-03T00:04:30+08:00,2021-02-05T11:21:09+08:00,,Bug-Report
